甄选,介绍,户型,平方,朝向,楼层,装修,位置,关注量,看房量,发布时间,价格,平方价格,备注
否,余杭老余杭圆乡名筑3室2厅,3室2厅,91.93 平米,南,低楼层/6层,精装,老余杭 圆乡名筑,0,0,1个月,225万,24475元/m²,满二年业主自荐
否,紧邻万象城TOD 品牌物业 黄金楼层 视野赞 光照好,4室2厅,129.49 平米,南,中楼层/24层,豪装,未来科技城 紫樾府 · 距绿汀路地铁站-B口820米（步行）,0,1,3个月,678万,52359元/m²,近地铁随时看满二年
否,拱墅天水社坛苑3室2厅,3室2厅,107.77 平米,南,中楼层/7层,精装,天水 社坛苑 · 距中河北路地铁站-B2口370米（步行）,1,0,6个月,510万,47323元/m²,满五年近地铁业主自荐
否,上城复兴复兴东苑2室1厅,2室1厅,53.75 平米,南,高楼层/6层,精装,复兴 复兴东苑 · 距南星桥地铁站-B口779米（步行）,0,0,6个月,198万,36837元/m²,近地铁满二年
否,新出新华苑，南北通透3房户型，无双税，看房方便！,3室1厅,66.81 平米,南,中楼层/7层,简装,和睦 莫干山路1321号 · 距花园岗地铁站-B口1043米（步行）,3,0,1年,185万,27690元/m²,满五年近公园近地铁业主自荐
否,临平星桥擎天半岛城4室2厅,4室2厅,123.23 平米,南,高楼层/26层,简装,星桥 擎天半岛城,0,1,1年,250万,20287元/m²,满五年
否,西湖区文三路地铁口精装2房,2室1厅,58.5 平米,南,中楼层/12层,精装,西湖 文三路地铁站附近 · 距文三路地铁站-A口200米（步行）,5,2,2个月,320万,54701元/m²,近地铁满二年
否,滨江区江陵路地铁站旁3房,3室2厅,89.2 平米,南,高楼层/18层,精装,滨江 江陵路地铁站附近 · 距江陵路地铁站-B口300米（步行）,8,3,1个月,450万,50448元/m²,近地铁满五年
否,萧山区市心路地铁站旁2房,2室1厅,65.8 平米,南,低楼层/8层,简装,萧山 市心路地铁站附近 · 距市心路地铁站-C口500米（步行）,2,1,4个月,280万,42553元/m²,近地铁满二年
否,钱塘区下沙地铁站旁4房,4室2厅,120.5 平米,南,中楼层/20层,精装,钱塘 下沙地铁站附近 · 距下沙地铁站-A口400米（步行）,6,2,3个月,380万,31535元/m²,近地铁满五年 
